warehouse_id,tenant_id,warehouse_name,city,state,latitude,longitude,capacity_units,cold_chain_available,active
WH-GUWAHATI,TEN-ACME-PHARMA,Guwahati Regional Warehouse,Guwahati,Assam,26.1445,91.7362,280000,true,true
WH-SHILLONG,TEN-ACME-PHARMA,Shillong Regional Warehouse,Shillong,Meghalaya,25.5788,91.8933,380000,true,true
WH-IMPHAL,TEN-ACME-PHARMA,Imphal Regional Warehouse,Imphal,Manipur,24.817,93.9368,470000,true,true
WH-AGARTALA,TEN-ACME-PHARMA,Agartala Regional Warehouse,Agartala,Tripura,23.8315,91.2868,360000,true,true
WH-DIMAPUR,TEN-FRESH-MART,Dimapur Regional Warehouse,Dimapur,Nagaland,25.9091,93.7266,450000,false,true
WH-AIZAWL,TEN-FRESH-MART,Aizawl Regional Warehouse,Aizawl,Mizoram,23.7271,92.7176,320000,false,true
WH-GANGTOK,TEN-FRESH-MART,Gangtok Regional Warehouse,Gangtok,Sikkim,27.3389,88.6065,540000,false,true
WH-ITANAGAR,TEN-URBAN-TRADE,Itanagar Regional Warehouse,Itanagar,Arunachal Pradesh,27.0844,93.6053,450000,false,true
WH-DIBRUGARH,TEN-URBAN-TRADE,Dibrugarh Regional Warehouse,Dibrugarh,Assam,27.4728,94.912,470000,false,true
WH-SILCHAR,TEN-URBAN-TRADE,Silchar Regional Warehouse,Silchar,Assam,24.8333,92.7789,540000,false,true
