source_warehouse_id,destination_warehouse_id,distance_km,travel_time_hours,fixed_transfer_cost,cost_per_unit,cold_chain_supported,active
WH-GUWAHATI,WH-SHILLONG,65.2,2.3,8304.0,0.6,true,true
WH-GUWAHATI,WH-IMPHAL,285.3,6.7,12706.0,0.6,true,true
WH-GUWAHATI,WH-AGARTALA,261.5,6.2,12230.0,0.6,true,true
WH-SHILLONG,WH-GUWAHATI,65.2,2.3,8304.0,0.6,true,true
WH-SHILLONG,WH-IMPHAL,242.1,5.8,11842.0,0.6,true,true
WH-SHILLONG,WH-AGARTALA,205.3,5.1,11106.0,0.6,true,true
WH-IMPHAL,WH-GUWAHATI,285.3,6.7,12706.0,0.6,true,true
WH-IMPHAL,WH-SHILLONG,242.1,5.8,11842.0,0.6,true,true
WH-IMPHAL,WH-AGARTALA,313.8,7.3,13276.0,0.6,true,true
WH-AGARTALA,WH-GUWAHATI,261.5,6.2,12230.0,0.6,true,true
WH-AGARTALA,WH-SHILLONG,205.3,5.1,11106.0,0.6,true,true
WH-AGARTALA,WH-IMPHAL,313.8,7.3,13276.0,0.6,true,true
WH-DIMAPUR,WH-AIZAWL,266.8,6.3,12336.0,0.6,true,true
WH-DIMAPUR,WH-GANGTOK,590.1,12.8,18802.0,0.6,true,true
WH-AIZAWL,WH-DIMAPUR,266.8,6.3,12336.0,0.6,true,true
WH-AIZAWL,WH-GANGTOK,607.4,13.1,19148.0,0.6,true,true
WH-GANGTOK,WH-DIMAPUR,590.1,12.8,18802.0,0.6,true,true
WH-GANGTOK,WH-AIZAWL,607.4,13.1,19148.0,0.6,true,true
WH-ITANAGAR,WH-DIBRUGARH,151.3,4.0,10026.0,0.6,true,true
WH-ITANAGAR,WH-SILCHAR,266.2,6.3,12324.0,0.6,true,true
WH-DIBRUGARH,WH-ITANAGAR,151.3,4.0,10026.0,0.6,true,true
WH-DIBRUGARH,WH-SILCHAR,376.7,8.5,14534.0,0.6,true,true
WH-SILCHAR,WH-ITANAGAR,266.2,6.3,12324.0,0.6,true,true
WH-SILCHAR,WH-DIBRUGARH,376.7,8.5,14534.0,0.6,true,true
