sku_id,tenant_id,sku_name,vertical,category,base_uom,unit_cost,selling_price,currency,minimum_safety_stock,reorder_multiple,default_shelf_life_days,fefo_required,demand_profile,active
SKU-PARA-650,TEN-ACME-PHARMA,Paracetamol 650mg Tablet,PHARMA,MEDICINE,UNIT,18.5,25.0,INR,500,100,730,true,STABLE,true
SKU-PHA-002,TEN-ACME-PHARMA,Pharma Demo SKU 002,PHARMA,MEDICINE,UNIT,209.62,816.87,INR,150,50,180,true,STABLE,true
SKU-PHA-003,TEN-ACME-PHARMA,Pharma Demo SKU 003,PHARMA,MEDICINE,UNIT,520.94,872.75,INR,190,50,540,true,STABLE,true
SKU-PHA-004,TEN-ACME-PHARMA,Pharma Demo SKU 004,PHARMA,MEDICINE,UNIT,34.51,372.14,INR,40,5,730,true,STABLE,true
SKU-SUP-005,TEN-FRESH-MART,Supermarket Demo SKU 005,SUPERMARKET,GROCERY,UNIT,89.71,806.46,INR,160,100,730,true,ERRATIC,true
SKU-SUP-006,TEN-FRESH-MART,Supermarket Demo SKU 006,SUPERMARKET,GROCERY,UNIT,331.21,558.74,INR,230,50,365,true,WEATHER_SENSITIVE,true
SKU-SUP-007,TEN-FRESH-MART,Supermarket Demo SKU 007,SUPERMARKET,GROCERY,UNIT,75.03,887.39,INR,270,100,180,true,STABLE,true
SKU-SUP-008,TEN-FRESH-MART,Supermarket Demo SKU 008,SUPERMARKET,GROCERY,UNIT,190.1,1013.68,INR,290,100,365,true,PROMOTION_SENSITIVE,true
SKU-MER-009,TEN-URBAN-TRADE,Merchandise Demo SKU 009,MERCHANDISE,GENERAL_MERCHANDISE,UNIT,565.34,325.99,INR,310,10,,false,INTERMITTENT,true
SKU-MER-010,TEN-URBAN-TRADE,Merchandise Demo SKU 010,MERCHANDISE,GENERAL_MERCHANDISE,UNIT,302.71,255.6,INR,180,5,,false,PROMOTION_SENSITIVE,true
SKU-MER-011,TEN-URBAN-TRADE,Merchandise Demo SKU 011,MERCHANDISE,GENERAL_MERCHANDISE,UNIT,363.51,743.05,INR,470,50,,false,SEASONAL,true
SKU-MER-012,TEN-URBAN-TRADE,Merchandise Demo SKU 012,MERCHANDISE,GENERAL_MERCHANDISE,UNIT,688.46,159.51,INR,200,50,,false,PROMOTION_SENSITIVE,true
